"key","EN","UK","RU","ES","IT","DE","KO","NL","FR","PT","ZH_TW","ZH","PL","CS"
"option.output_container.mp4","MP4 .mp4 (common video)","MP4 .mp4 (звичайне відео)","MP4 .mp4 (обычное видео)","MP4: para compartir y ver","MP4: per invio e visione","MP4: zum Teilen und Ansehen","MP4: 공유 및 보기용","MP4: delen en bekijken","MP4 : partage et lecture","MP4: envio e visualização","MP4：分享與觀看","MP4：分享与观看","MP4: wysyłka i oglądanie","MP4: sdílení a přehrávání"
"option.output_container.mov","MOV .mov (editing video)","MOV .mov (відео для монтажу)","MOV .mov (видео для монтажа)","MOV: para edición e iPhone","MOV: per montaggio e iPhone","MOV: für Schnitt und iPhone","MOV: 편집 및 iPhone용","MOV: montage en iPhone","MOV : montage et iPhone","MOV: edição e iPhone","MOV：剪輯與 iPhone","MOV：剪辑与 iPhone","MOV: montaż i iPhone","MOV: střih a iPhone"
"option.resolution_mode.original","Keep source size","Залишити вихідний розмір","Оставить исходный размер","Mantener tamaño original","Mantieni dimensione originale","Originalgröße behalten","원본 크기 유지","Bronformaat behouden","Conserver la taille source","Manter tamanho original","保留來源尺寸","保留源尺寸","Zachowaj rozmiar źródła","Ponechat původní velikost"
"option.resolution_mode.fit_1080","Set height to 1080p","Зробити висоту 1080p","Сделать высоту 1080p","Altura 1080p","Imposta altezza 1080p","Höhe auf 1080p setzen","높이 1080p로 설정","Hoogte 1080p maken","Hauteur 1080p","Definir altura 1080p","高度設為 1080p","高度设为 1080p","Ustaw wysokość 1080p","Nastavit výšku 1080p"
"option.resolution_mode.fit_720","Set height to 720p","Зробити висоту 720p","Сделать высоту 720p","Altura 720p","Imposta altezza 720p","Höhe auf 720p setzen","높이 720p로 설정","Hoogte 720p maken","Hauteur 720p","Definir altura 720p","高度設為 720p","高度设为 720p","Ustaw wysokość 720p","Nastavit výšku 720p"
"option.resolution_mode.square_720","Square 720x720","Квадрат 720x720","Квадрат 720x720","Cuadrado 720x720","Quadrato 720x720","Quadrat 720x720","정사각형 720x720","Vierkant 720x720","Carré 720x720","Quadrado 720x720","方形 720x720","方形 720x720","Kwadrat 720x720","Čtverec 720x720"
"option.resolution_mode.custom","Set width and height manually","Задати ширину й висоту вручну","Задать ширину и высоту вручную","Definir ancho y alto manualmente","Imposta larghezza e altezza a mano","Breite und Höhe manuell setzen","너비와 높이 직접 설정","Breedte en hoogte handmatig","Largeur et hauteur manuelles","Definir largura e altura manualmente","手動設定寬度與高度","手动设置宽度与高度","Ustaw szerokość i wysokość ręcznie","Nastavit šířku a výšku ručně"
"option.quality_profile.draft","Draft: faster, smaller file","Чернетка: швидше, файл менший","Черновик: быстрее, файл меньше","Borrador: más rápido, archivo menor","Bozza: più veloce, file più piccolo","Entwurf: schneller, kleinere Datei","초안: 더 빠르고 파일 작음","Concept: sneller, kleiner bestand","Brouillon : plus rapide, fichier plus petit","Rascunho: mais rápido, arquivo menor","草稿：較快、檔案較小","草稿：更快、文件更小","Szkic: szybciej, mniejszy plik","Náhled: rychlejší, menší soubor"
"option.quality_profile.small","Small file","Малий файл","Маленький файл","Archivo pequeño","File piccolo","Kleine Datei","작은 파일","Klein bestand","Petit fichier","Arquivo pequeno","小檔案","小文件","Mały plik","Malý soubor"
"option.quality_profile.balanced","Balance quality and size","Баланс якості та розміру","Баланс качества и размера","Equilibrio calidad y tamaño","Equilibrio qualità e dimensione","Balance aus Qualität und Größe","품질과 크기 균형","Balans kwaliteit en grootte","Équilibre qualité et taille","Equilíbrio qualidade e tamanho","品質與大小平衡","质量与大小平衡","Balans jakości i rozmiaru","Vyvážit kvalitu a velikost"
"option.quality_profile.high","High quality","Висока якість","Высокое качество","Alta calidad","Alta qualità","Hohe Qualität","고품질","Hoge kwaliteit","Haute qualité","Alta qualidade","高品質","高质量","Wysoka jakość","Vysoká kvalita"
"option.quality_profile.maximum","Almost maximum quality","Майже максимальна якість","Почти максимум качества","Casi máxima calidad","Quasi massima qualità","Fast maximale Qualität","거의 최대 품질","Bijna maximale kwaliteit","Qualité presque maximale","Quase qualidade máxima","接近最高品質","接近最高质量","Prawie maksymalna jakość","Téměř maximální kvalita"
"option.encoding_speed.fast","Process faster","Обробити швидше","Быстрее обработать","Procesar más rápido","Elabora più velocemente","Schneller verarbeiten","더 빠르게 처리","Sneller verwerken","Traiter plus vite","Processar mais rápido","較快處理","更快处理","Przetwarzaj szybciej","Zpracovat rychleji"
"option.encoding_speed.balanced","Normal speed","Звичайна швидкість","Обычная скорость","Velocidad normal","Velocità normale","Normale Geschwindigkeit","일반 속도","Normale snelheid","Vitesse normale","Velocidade normal","一般速度","普通速度","Normalna szybkość","Normální rychlost"
"option.encoding_speed.smaller_file","Longer, smaller file","Довше, але файл менший","Дольше, но файл меньше","Más lento, archivo menor","Più lento, file più piccolo","Länger, kleinere Datei","느리지만 파일 작음","Langer, kleiner bestand","Plus long, fichier plus petit","Mais lento, arquivo menor","較久、檔案較小","更久、文件更小","Dłużej, mniejszy plik","Déle, menší soubor"
"option.video_codec.libx264","libx264: H.264, most compatible CPU codec","libx264: H.264, найсумісніший CPU-кодек","libx264: H.264, самый совместимый CPU-кодек","libx264: H.264, códec CPU más compatible","libx264: H.264, codec CPU più compatibile","libx264: H.264, kompatibelster CPU-Codec","libx264: H.264, 가장 호환성 높은 CPU 코덱","libx264: H.264, meest compatibele CPU-codec","libx264 : H.264, codec CPU le plus compatible","libx264: H.264, codec CPU mais compatível","libx264：H.264，相容性最高的 CPU 編碼器","libx264：H.264，兼容性最高的 CPU 编码器","libx264: H.264, najbardziej zgodny kodek CPU","libx264: H.264, nejkompatibilnější CPU kodek"
"option.video_codec.libx265","libx265: H.265/HEVC, smaller file, lower compatibility","libx265: H.265/HEVC, менший файл, гірша сумісність","libx265: H.265/HEVC, файл меньше, совместимость хуже","libx265: H.265/HEVC, archivo menor, menos compatibilidad","libx265: H.265/HEVC, file più piccolo, compatibilità minore","libx265: H.265/HEVC, kleinere Datei, weniger kompatibel","libx265: H.265/HEVC, 파일 작음, 호환성 낮음","libx265: H.265/HEVC, kleiner bestand, minder compatibel","libx265 : H.265/HEVC, fichier plus petit, compatibilité moindre","libx265: H.265/HEVC, arquivo menor, menor compatibilidade","libx265：H.265/HEVC，檔案較小，相容性較低","libx265：H.265/HEVC，文件更小，兼容性较低","libx265: H.265/HEVC, mniejszy plik, gorsza zgodność","libx265: H.265/HEVC, menší soubor, horší kompatibilita"
"option.video_codec.h264_nvenc","h264_nvenc: H.264 through NVIDIA GPU","h264_nvenc: H.264 через NVIDIA GPU","h264_nvenc: H.264 через NVIDIA GPU","h264_nvenc: H.264 mediante NVIDIA GPU","h264_nvenc: H.264 tramite NVIDIA GPU","h264_nvenc: H.264 über NVIDIA GPU","h264_nvenc: NVIDIA GPU로 H.264","h264_nvenc: H.264 via NVIDIA GPU","h264_nvenc : H.264 via GPU NVIDIA","h264_nvenc: H.264 pela GPU NVIDIA","h264_nvenc：透過 NVIDIA GPU 的 H.264","h264_nvenc：通过 NVIDIA GPU 的 H.264","h264_nvenc: H.264 przez NVIDIA GPU","h264_nvenc: H.264 přes NVIDIA GPU"
"option.video_codec.hevc_nvenc","hevc_nvenc: H.265/HEVC through NVIDIA GPU","hevc_nvenc: H.265/HEVC через NVIDIA GPU","hevc_nvenc: H.265/HEVC через NVIDIA GPU","hevc_nvenc: H.265/HEVC mediante NVIDIA GPU","hevc_nvenc: H.265/HEVC tramite NVIDIA GPU","hevc_nvenc: H.265/HEVC über NVIDIA GPU","hevc_nvenc: NVIDIA GPU로 H.265/HEVC","hevc_nvenc: H.265/HEVC via NVIDIA GPU","hevc_nvenc : H.265/HEVC via GPU NVIDIA","hevc_nvenc: H.265/HEVC pela GPU NVIDIA","hevc_nvenc：透過 NVIDIA GPU 的 H.265/HEVC","hevc_nvenc：通过 NVIDIA GPU 的 H.265/HEVC","hevc_nvenc: H.265/HEVC przez NVIDIA GPU","hevc_nvenc: H.265/HEVC přes NVIDIA GPU"
"option.video_codec.libvpx-vp9","libvpx-vp9: VP9 for web video","libvpx-vp9: VP9 для web-відео","libvpx-vp9: VP9 для web-видео","libvpx-vp9: VP9 para video web","libvpx-vp9: VP9 per video web","libvpx-vp9: VP9 für Webvideo","libvpx-vp9: 웹 비디오용 VP9","libvpx-vp9: VP9 voor webvideo","libvpx-vp9 : VP9 pour vidéo web","libvpx-vp9: VP9 para vídeo web","libvpx-vp9：網頁影片 VP9","libvpx-vp9：网页视频 VP9","libvpx-vp9: VP9 dla wideo web","libvpx-vp9: VP9 pro webové video"
"option.video_codec.copy","copy: do not re-encode video if filters are not needed","copy: не перекодовувати відео, якщо фільтри не потрібні","copy: не перекодировать видео, если фильтры не нужны","copy: no recodificar si no hacen falta filtros","copy: non ricodificare se non servono filtri","copy: Video nicht neu kodieren, wenn keine Filter nötig sind","copy: 필터가 필요 없으면 비디오 재인코딩 안 함","copy: video niet hercoderen als filters niet nodig zijn","copy : ne pas réencoder si aucun filtre n'est requis","copy: não recodificar se filtros não forem necessários","copy：不需要濾鏡時不重新編碼","copy：不需要滤镜时不重新编码","copy: nie koduj ponownie, jeśli filtry nie są potrzebne","copy: nepřekódovat video, pokud nejsou potřeba filtry"
"option.crop_mode.none","Do not crop frame","Не обрізати кадр","Не обрезать кадр","No recortar cuadro","Non ritagliare il fotogramma","Frame nicht zuschneiden","프레임 자르지 않기","Frame niet bijsnijden","Ne pas recadrer l'image","Não cortar quadro","不裁切畫面","不裁剪画面","Nie przycinaj kadru","Neořezávat snímek"
"option.crop_mode.manual","Crop pixels on each side","Обрізати пікселі по сторонах","Обрезать пиксели по сторонам","Recortar píxeles por lados","Ritaglia pixel sui lati","Pixel an den Seiten zuschneiden","각 면의 픽셀 자르기","Pixels per zijde bijsnijden","Recadrer des pixels par côté","Cortar pixels em cada lado","裁切各邊像素","裁剪各边像素","Przytnij piksele po bokach","Oříznout pixely po stranách"
"option.trim_mode.none","Do not trim by time","Не обрізати за часом","Не обрезать по времени","No recortar por tiempo","Non tagliare nel tempo","Nicht nach Zeit schneiden","시간으로 자르지 않기","Niet op tijd knippen","Ne pas couper par temps","Não cortar por tempo","不依時間剪裁","不按时间裁剪","Nie przycinaj po czasie","Nestříhat podle času"
"option.trim_mode.seconds","Trim in seconds","Обрізати в секундах","Обрезать в секундах","Recortar en segundos","Taglia in secondi","In Sekunden schneiden","초 단위로 자르기","Knippen in seconden","Couper en secondes","Cortar em segundos","以秒剪裁","按秒裁剪","Przytnij w sekundach","Stříhat v sekundách"
"option.trim_mode.frames","Trim in frames","Обрізати в кадрах","Обрезать в кадрах","Recortar en fotogramas","Taglia in fotogrammi","In Frames schneiden","프레임 단위로 자르기","Knippen in frames","Couper en images","Cortar em quadros","以影格剪裁","按帧裁剪","Przytnij w klatkach","Stříhat ve snímcích"
"option.fps_mode.source","Same as source video","Як у вихідному відео","Как в исходном видео","Como el video original","Come nel video sorgente","Wie im Quellvideo","원본 비디오와 동일","Zoals bronvideo","Comme la vidéo source","Igual ao vídeo original","與來源影片相同","与源视频相同","Jak w źródle","Jako ve zdroji"
"option.fps_mode.24","24 frames/s","24 кадри/с","24 кадра/с","24 fotogramas/s","24 fotogrammi/s","24 Bilder/s","24 프레임/초","24 frames/s","24 images/s","24 quadros/s","24 影格/秒","24 帧/秒","24 kl./s","24 sn./s"
"option.fps_mode.30","30 frames/s","30 кадрів/с","30 кадров/с","30 fotogramas/s","30 fotogrammi/s","30 Bilder/s","30 프레임/초","30 frames/s","30 images/s","30 quadros/s","30 影格/秒","30 帧/秒","30 kl./s","30 sn./s"
"option.fps_mode.60","60 frames/s","60 кадрів/с","60 кадров/с","60 fotogramas/s","60 fotogrammi/s","60 Bilder/s","60 프레임/초","60 frames/s","60 images/s","60 quadros/s","60 影格/秒","60 帧/秒","60 kl./s","60 sn./s"
"option.speed.1x","No speed-up","Без прискорення","Без ускорения","Sin acelerar","Senza accelerazione","Keine Beschleunigung","가속 없음","Geen versnelling","Sans accélération","Sem aceleração","不加速","不加速","Bez przyspieszenia","Bez zrychlení"
"option.speed.2x","Speed up 2x","Прискорити в 2 рази","Ускорить в 2 раза","Acelerar 2x","Accelera 2x","2x beschleunigen","2배 가속","2x versnellen","Accélérer 2x","Acelerar 2x","加速 2 倍","加速 2 倍","Przyspiesz 2x","Zrychlit 2x"
"option.speed.4x","Speed up 4x","Прискорити в 4 рази","Ускорить в 4 раза","Acelerar 4x","Accelera 4x","4x beschleunigen","4배 가속","4x versnellen","Accélérer 4x","Acelerar 4x","加速 4 倍","加速 4 倍","Przyspiesz 4x","Zrychlit 4x"
"option.speed.8x","Speed up 8x","Прискорити у 8 разів","Ускорить в 8 раз","Acelerar 8x","Accelera 8x","8x beschleunigen","8배 가속","8x versnellen","Accélérer 8x","Acelerar 8x","加速 8 倍","加速 8 倍","Przyspiesz 8x","Zrychlit 8x"
"option.speed.10x","Speed up 10x","Прискорити у 10 разів","Ускорить в 10 раз","Acelerar 10x","Accelera 10x","10x beschleunigen","10배 가속","10x versnellen","Accélérer 10x","Acelerar 10x","加速 10 倍","加速 10 倍","Przyspiesz 10x","Zrychlit 10x"
"option.speed.16x","Speed up 16x","Прискорити у 16 разів","Ускорить в 16 раз","Acelerar 16x","Accelera 16x","16x beschleunigen","16배 가속","16x versnellen","Accélérer 16x","Acelerar 16x","加速 16 倍","加速 16 倍","Przyspiesz 16x","Zrychlit 16x"
"option.audio_mode.keep_or_silent","With sound; add a silent track if there is no sound","Зі звуком; якщо звуку немає, додати тиху доріжку","Со звуком; если звука нет, добавить тихую дорожку","Con sonido; si no hay audio, agregar pista silenciosa","Con audio; se manca, aggiungi traccia silenziosa","Mit Ton; falls keiner vorhanden ist, stille Spur hinzufügen","소리 포함; 소리가 없으면 무음 트랙 추가","Met geluid; voeg stille track toe als er geen geluid is","Avec son ; ajouter une piste silencieuse s'il manque","Com som; se não houver, adicionar faixa silenciosa","有聲音；沒有聲音時加入靜音音軌","有声音；没有声音时添加静音音轨","Z dźwiękiem; jeśli brak, dodaj cichą ścieżkę","Se zvukem; pokud chybí, přidat tichou stopu"
"option.audio_mode.mute","No sound","Без звуку","Без звука","Sin sonido","Senza audio","Ohne Ton","소리 없음","Zonder geluid","Sans son","Sem som","無聲音","无声音","Bez dźwięku","Bez zvuku"
"option.audio_quality.compact","Compact sound","Компактний звук","Компактный звук","Sonido compacto","Audio compatto","Kompakter Ton","압축 사운드","Compact geluid","Son compact","Som compacto","精簡音訊","精简音频","Kompaktowy dźwięk","Kompaktní zvuk"
"option.audio_quality.normal","Normal sound","Звичайний звук","Обычный звук","Sonido normal","Audio normale","Normaler Ton","일반 사운드","Normaal geluid","Son normal","Som normal","一般音訊","普通音频","Normalny dźwięk","Normální zvuk"
"option.audio_quality.high","High sound quality","Висока якість звуку","Высокое качество звука","Alta calidad de sonido","Alta qualità audio","Hohe Tonqualität","고음질","Hoge geluidskwaliteit","Haute qualité sonore","Alta qualidade de som","高音質","高音质","Wysoka jakość dźwięku","Vysoká kvalita zvuku"
"section.output.title","1. Output target","1. Що отримати на виході","1. Что получить на выходе","1. Resultado de salida","1. Risultato in uscita","1. Ausgabeergebnis","1. 출력 결과","1. Uitvoerresultaat","1. Résultat de sortie","1. Resultado final","1. 輸出結果","1. 输出结果","1. Wynik wyjściowy","1. Výsledek"
"section.output.description","Pick the container/extension first. The rest of the form adapts to video, audio, or GIF output.","Спочатку виберіть контейнер/розширення. Решта форми підлаштується під відео, аудіо або GIF.","Сначала выберите контейнер/расширение. Остальная форма подстроится под видео, аудио или GIF.","Elige tipo y nombre del resultado. El archivo original no cambia.","Scegli tipo e nome del risultato. Il file sorgente non cambia.","Dateityp und Namen wählen. Die Quelldatei bleibt unverändert.","결과 파일 형식과 이름을 선택합니다. 원본 파일은 변경되지 않습니다.","Kies bestandstype en naam. Het bronbestand verandert niet.","Choisissez le type et le nom du résultat. Le fichier source ne change pas.","Escolha tipo e nome do resultado. O arquivo original não muda.","選擇結果檔案類型與名稱，不會改動來源檔案。","选择结果文件类型和名称，不会改动源文件。","Wybierz typ i nazwę wyniku. Plik źródłowy nie jest zmieniany.","Vyberte typ a název výsledku. Zdroj se nemění."
"field.output_container.label","-f / extension (output format)","-f / розширення (формат результату)","-f / расширение (формат результата)","Formato del resultado","Formato risultato","Ergebnisformat","결과 형식","Resultaatformaat","Format du résultat","Formato do resultado","結果格式","结果格式","Format wyniku","Formát výsledku"
"field.output_container.description","Choose what FFmpeg should write: video container, audio file, or GIF animation.","Виберіть, що FFmpeg має записати: відеоконтейнер, аудіофайл або GIF-анімацію.","Выберите, что FFmpeg должен записать: видеоконтейнер, аудиофайл или GIF-анимацию.","MP4 suele servir para compartir, web y ver. MOV es mejor para edición y Apple.","MP4 va bene per invio, siti e visione. MOV è più comodo per montaggio e Apple.","MP4 passt meist für Teilen, Websites und Wiedergabe. MOV ist besser für Schnitt und Apple.","MP4는 공유, 웹, 보기용에 적합합니다. MOV는 편집과 일부 Apple 작업에 좋습니다.","MP4 is meestal geschikt voor delen, websites en kijken. MOV is beter voor montage en Apple.","MP4 convient au partage, au web et à la lecture. MOV est mieux pour le montage et Apple.","MP4 serve para envio, sites e visualização. MOV é melhor para edição e Apple.","MP4 通常適合分享、網站與觀看。MOV 較適合剪輯與部分 Apple 流程。","MP4 通常适合分享、网站与观看。MOV 更适合剪辑和部分 Apple 流程。","MP4 zwykle pasuje do wysyłki, stron i oglądania. MOV lepszy do montażu i Apple.","MP4 se hodí pro sdílení, web a přehrávání. MOV je lepší pro střih a Apple."
"field.output_suffix.label","output suffix (file name ending)","суфікс файлу (закінчення назви)","суффикс файла (окончание имени)","Sufijo del nombre","Suffisso nome file","Dateinamensuffix","파일 이름 접미사","Achtervoegsel bestandsnaam","Suffixe du nom","Sufixo do nome","檔名後綴","文件名后缀","Sufiks nazwy pliku","Přípona názvu"
"field.output_suffix.description","Example: source video.mov with suffix small creates video_small.mp4.","Наприклад, video.mov із припискою small створить video_small.mp4.","Например, если исходник video.mov, приписка 'small' создаст video_small.mp4.","Ejemplo: video.mov con sufijo small crea video_small.mp4.","Esempio: video.mov con suffisso small crea video_small.mp4.","Beispiel: video.mov mit Suffix small wird video_small.mp4.","예: video.mov에 small 접미사를 쓰면 video_small.mp4가 됩니다.","Voorbeeld: video.mov met suffix small maakt video_small.mp4.","Exemple : video.mov avec suffixe small crée video_small.mp4.","Exemplo: video.mov com sufixo small cria video_small.mp4.","例如 video.mov 加上 small 會建立 video_small.mp4。","例如 video.mov 加上 small 会创建 video_small.mp4。","Przykład: video.mov z sufiksem small utworzy video_small.mp4.","Příklad: video.mov se suffixem small vytvoří video_small.mp4."
"section.size_speed.title","3. Size, crop, speed","3. Розмір, кадрування, швидкість","3. Размер, кадрирование, скорость","2. Tamaño y velocidad","2. Dimensione e velocità","2. Größe und Geschwindigkeit","2. 비디오 크기와 속도","2. Grootte en snelheid","2. Taille et vitesse","2. Tamanho e velocidade","2. 影片尺寸與速度","2. 视频尺寸与速度","2. Rozmiar i szybkość","2. Velikost a rychlost"
"section.size_speed.description","Common video transforms: scale, FPS, and speed. The generated command shows the exact FFmpeg filters.","Базові відеоперетворення: scale, FPS і швидкість. Згенерована команда показує точні фільтри FFmpeg.","Базовые видеопреобразования: scale, FPS и скорость. Сгенерированная команда показывает точные фильтры FFmpeg.","Estos ajustes cambian imagen, FPS y velocidad.","Queste impostazioni cambiano dimensione, FPS e velocità.","Diese Werte ändern Bildgröße, Bildrate und Beschleunigung.","프레임 크기, FPS, 가속을 바꿉니다.","Deze instellingen wijzigen beeldformaat, FPS en versnelling.","Ces réglages modifient taille, FPS et accélération.","Essas opções mudam tamanho, FPS e aceleração.","這些設定會改變畫面尺寸、FPS 與加速。","这些设置会改变画面尺寸、FPS 和加速。","Te ustawienia zmieniają rozmiar, FPS i przyspieszenie.","Tato nastavení mění velikost, FPS a zrychlení."
"field.resolution_mode.label","scale (resize mode)","scale (режим зміни розміру)","scale (режим изменения размера)","Tamaño del video","Dimensione video","Videogröße","비디오 크기","Videogrootte","Taille vidéo","Tamanho do vídeo","影片尺寸","视频尺寸","Rozmiar wideo","Velikost videa"
"field.resolution_mode.description","Keep the source size, scale down, make a square, or set exact dimensions manually.","Залиште вихідний розмір, зменште, зробіть квадрат або задайте точні розміри вручну.","Можно оставить исходный размер, уменьшить до 1080p/720p, сделать квадрат или задать точные размеры вручную.","Mantén tamaño, reduce, haz cuadrado o define medidas exactas.","Mantieni, riduci, rendi quadrato o imposta misure esatte.","Original behalten, verkleinern, Quadrat erstellen oder Maße setzen.","원본 유지, 축소, 정사각형 또는 정확한 크기 지정.","Behoud bron, verklein, maak vierkant of stel exacte maten in.","Conserver, réduire, faire un carré ou définir les dimensions.","Manter, reduzir, deixar quadrado ou definir dimensões.","保留來源、縮小、做成方形或手動設定尺寸。","保留源尺寸、缩小、做成方形或手动设置尺寸。","Zachowaj, zmniejsz, zrób kwadrat albo ustaw wymiary.","Ponechat, zmenšit, udělat čtverec nebo nastavit rozměry."
"field.custom_width.label","scale width (custom px)","scale width (своя ширина px)","scale width (своя ширина px)","Ancho manual","Larghezza manuale","Manuelle Breite","수동 너비","Handmatige breedte","Largeur manuelle","Largura manual","手動寬度","手动宽度","Szerokość ręczna","Ruční šířka"
"field.custom_width.description","Used only in manual width and height mode. Value is in pixels.","Використовується лише в ручному режимі ширини й висоти. Значення в пікселях.","Используется только когда выбран режим 'Задать ширину и высоту вручную'. Значение в пикселях.","Solo se el modo manual está activo. Valor en píxeles.","Usato solo in modalità manuale. Valore in pixel.","Nur im manuellen Größenmodus. Wert in Pixeln.","수동 크기 모드에서만 사용합니다. 값은 픽셀입니다.","Alleen in handmatige modus. Waarde in pixels.","Utilisé seulement en mode manuel. Valeur en pixels.","Usado só no modo manual. Valor em pixels.","僅在手動寬高模式使用，單位為像素。","仅在手动宽高模式使用，单位为像素。","Tylko w trybie ręcznym. Wartość w pikselach.","Pouze v ručním režimu. Hodnota v pixelech."
"field.custom_height.label","scale height (custom px)","scale height (своя висота px)","scale height (своя высота px)","Alto manual","Altezza manuale","Manuelle Höhe","수동 높이","Handmatige hoogte","Hauteur manuelle","Altura manual","手動高度","手动高度","Wysokość ręczna","Ruční výška"
"field.custom_height.description","Used only in manual width and height mode. Value is in pixels.","Використовується лише в ручному режимі ширини й висоти. Значення в пікселях.","Используется только когда выбран режим 'Задать ширину и высоту вручную'. Значение в пикселях.","Solo si el modo manual está activo. Valor en píxeles.","Usato solo in modalità manuale. Valore in pixel.","Nur im manuellen Größenmodus. Wert in Pixeln.","수동 크기 모드에서만 사용합니다. 값은 픽셀입니다.","Alleen in handmatige modus. Waarde in pixels.","Utilisé seulement en mode manuel. Valeur en pixels.","Usado só no modo manual. Valor em pixels.","僅在手動寬高模式使用，單位為像素。","仅在手动宽高模式使用，单位为像素。","Tylko w trybie ręcznym. Wartość w pikselach.","Pouze v ručním režimu. Hodnota v pixelech."
"field.fps_mode.label","-r / fps (output frame rate)","-r / fps (частота кадрів)","-r / fps (частота кадров)","Fotogramas por segundo","Fotogrammi al secondo","Bilder pro Sekunde","초당 프레임","Frames per seconde","Images par seconde","Quadros por segundo","每秒影格","每秒帧数","Klatki na sekundę","Snímky za sekundu"
"field.fps_mode.description","Usually leave it as source. Use 24/30/60 only when a specific frame rate is required.","Зазвичай краще залишити як у джерелі. 24/30/60 потрібні лише для конкретного FPS.","Обычно лучше оставить как в исходнике. 24/30/60 нужны, если требуется конкретная частота кадров.","Normalmente deja origen. Usa 24/30/60 solo si se requiere.","Di solito lascia sorgente. Usa 24/30/60 solo se serve.","Meist Quelle behalten. 24/30/60 nur bei Vorgabe nutzen.","보통 원본 유지가 좋습니다. 특정 FPS가 필요할 때만 사용하세요.","Laat meestal bron staan. Gebruik 24/30/60 alleen als nodig.","Gardez souvent la source. 24/30/60 seulement si requis.","Geralmente mantenha origem. Use 24/30/60 se necessário.","通常保留來源，只有需要指定 FPS 時才用 24/30/60。","通常保留源，只有需要指定 FPS 时才用 24/30/60。","Zwykle zostaw źródło. 24/30/60 tylko gdy wymagane.","Obvykle ponechte zdroj. 24/30/60 jen při požadavku."
"field.speed.label","setpts + atempo (speed)","setpts + atempo (швидкість)","setpts + atempo (скорость)","Aceleración","Accelerazione","Beschleunigung","가속","Versnelling","Accélération","Aceleração","加速","加速","Przyspieszenie","Zrychlení"
"field.speed.description","Changes video duration. If sound is enabled, audio is sped up with the picture.","Змінює тривалість відео. Якщо звук увімкнено, аудіо прискорюється разом із картинкою.","Меняет длительность видео. Если звук включен, звук ускоряется вместе с картинкой.","Cambia duración. Si hay sonido, se acelera junto con la imagen.","Cambia durata. Se l'audio è attivo, accelera insieme al video.","Ändert die Dauer. Ton wird mit dem Bild beschleunigt.","비디오 길이를 바꿉니다. 소리가 켜져 있으면 같이 빨라집니다.","Wijzigt duur. Geluid versnelt mee als het aan staat.","Change la durée. Le son est accéléré avec l'image.","Muda a duração. Com som ativo, o áudio acelera junto.","改變影片長度；啟用聲音時音訊也會一起加速。","改变视频长度；启用声音时音频也会一起加速。","Zmienia czas trwania. Dźwięk przyspiesza razem z obrazem.","Mění délku. Zvuk se zrychlí spolu s obrazem."
"section.crop.title","4. Crop","4. Кадрування","4. Кадрирование","3. Recorte de cuadro","3. Ritaglio fotogramma","3. Frame zuschneiden","3. 프레임 자르기","3. Frame bijsnijden","3. Recadrage image","3. Corte do quadro","3. 畫面裁切","3. 画面裁剪","3. Przycinanie kadru","3. Ořez snímku"
"section.crop.description","Crop removes pixels from frame edges before resizing. Example: set Left = 100 to remove 100 pixels from the left.","Обрізка видаляє пікселі з країв перед зміною розміру. Приклад: Ліворуч = 100.","Обрезка удаляет пиксели с краев кадра до изменения размера. Например, чтобы убрать 100 пикселей слева, поставьте 'Слева' = 100.","Quita píxeles de los bordes antes de escalar. Ejemplo: Izquierda = 100.","Rimuove pixel dai bordi prima del ridimensionamento. Esempio: Sinistra = 100.","Entfernt Pixel vor dem Skalieren. Beispiel: Links = 100.","크기 변경 전 가장자리 픽셀을 제거합니다. 예: 왼쪽 = 100.","Verwijdert pixels van randen vóór schalen. Voorbeeld: Links = 100.","Retire des pixels avant redimensionnement. Exemple : Gauche = 100.","Remove pixels das bordas antes de redimensionar. Exemplo: Esquerda = 100.","在縮放前移除邊緣像素。例如左側 = 100。","在缩放前移除边缘像素。例如左侧 = 100。","Usuwa piksele z krawędzi przed skalowaniem. Przykład: Lewo = 100.","Odstraní pixely z okrajů před změnou velikosti. Příklad: vlevo = 100."
"field.crop_mode.label","crop (crop mode)","crop (режим кадрування)","crop (режим кадрирования)","Modo de recorte","Modalità ritaglio","Zuschnittmodus","자르기 모드","Bijsnijmodus","Mode recadrage","Modo de corte","裁切模式","裁剪模式","Tryb przycinania","Režim ořezu"
"field.crop_mode.description","When crop is off, the frame stays whole. Manual mode removes exact pixels from each side.","Коли обрізка вимкнена, кадр цілий. Ручний режим прибирає точні пікселі з кожного боку.","Если обрезка выключена, кадр остается целым. Ручной режим позволяет убрать точное количество пикселей с каждой стороны.","Si está desactivado, el cuadro queda completo. Manual quita píxeles exactos.","Se disattivo, il fotogramma resta intero. Manuale rimuove pixel esatti.","Aus: Frame bleibt ganz. Manuell entfernt genaue Pixel pro Seite.","꺼져 있으면 프레임 전체 유지. 수동은 각 면 픽셀 제거.","Uit: frame blijft heel. Handmatig verwijdert exacte pixels.","Désactivé : image entière. Manuel retire des pixels exacts.","Desligado mantém o quadro. Manual remove pixels exatos.","關閉時保留完整畫面；手動可移除各邊指定像素。","关闭时保留完整画面；手动可移除各边指定像素。","Wyłączone zachowuje kadr. Ręczny usuwa dokładne piksele.","Vypnuto ponechá snímek. Ruční odstraní přesné pixely."
